,Line Number in ACF-196R,Line Number(s) in ACF-196,Column Name in Appended File,Type,Description
31,17,,17. Services for Children and Youth,Integer,Programs designed to support and enrich the development and improve the life-skills and educational attainment of children and youth
32,18,6h,18. Prevention of Out-of-Wedlock Pregnancies,Integer,"Programs that provide sex education or abstinence education and family planning services to individuals, couples, and families in an effort to reduce out-of-wedlock pregnancies"
33,19,6i,19. Fatherhood and Two-Parent Family Formation and Maintenance Programs,Integer,Programs that aim to promote responsible fatherhood and/or encourage the formation and maintenance of two-parent families
34,20,,20. Child Welfare Services,Integer,"The total expenditures from lines 20a., 20b., and 20c"
35,20a,,20a. Family Support/Family Preservation/Reunification Services,Integer,"Community-based services, provided to families involved in the child welfare system that are designed to increase the strength and stability of families so children may remain in or return to their homes"
36,20b,,20b. Adoption Services,Integer,Services and activities designed to promote and support successful adoptions
37,20c,,20c. Additional Child Welfare Services,Integer,"Other services provided to children and families at risk of being in the child welfare system, or who are involved in the child welfare system"
38,21,,21. Home Visiting Programs,Integer,"Expenditures on programs where nurses, social workers, or other professionals/para-professionals provide services to families in their homes, including evaluating the families’ circumstances; providing information and guidance around maternal health and child health and development; and connecting families to necessary resources and services"
39,22,,22. Program Management,Integer,"The total expenditures from lines 22a., 22b., and 22c"
40,22a,6j,22a. Administrative Costs,Integer,"Based on the nature or function of the contract, states must include appropriate administrative costs associated with contracts and subcontracts that count towards the 15 percent administrative cost caps"
41,22b,,22b. Assessment/Service Provision,Integer,"Costs associated with screening and assessment (including substance abuse screening), SSI/SSDI application services, case planning and management, and direct service provision that are neither “administrative costs,” as defined at 45 CFR Part 263.0, nor are otherwise able to be allocated to another expenditure category"
42,22c,6k,22c. Systems,Integer,Costs related to monitoring and tracking under the program
43,23,6m,23. Other,Integer,Non-assistance activities that were not included under Line 6 through Line 22
44,25,8,NOT INCLUDED,0,0
45,26,6c1,NOT INCLUDED,0,0
46,24,7,24. Total Expenditures,Integer,"The total expenditures (i.e., the sum of Line 6 through Line 23)"
47,27,9,27. Federal Unliquidated Obligations,Integer,Obligations reported on this line must meet the definition of obligations contained in 45 CFR 92.3
48,28,10,28. Unobligated Balance,Integer,Total federal unobligated balances of the GY’s funds in Columns A and D as of the end of each FFY
49,,5,NOT INCLUDED,0,0
50,,6,NOT INCLUDED,0,0
51,,6c2,NOT INCLUDED,0,0
52,,12,NOT INCLUDED,0,0
